image_path,age_scaled
train_images\bacterial_panicle_blight\105848.jpg,0.4425500729986658
train_images\tungro\109706.jpg,-0.4503258694948567
train_images\blast\109968.jpg,-1.56642079761176
train_images\downy_mildew\110221.jpg,0.6657690586220464
train_images\bacterial_leaf_blight\109795.jpg,-1.0083733335533083
train_images\brown_spot\100566.jpg,0.6657690586220464
train_images\tungro\109294.jpg,0.8889880442454271
train_images\hispa\107228.jpg,0.6657690586220464
train_images\brown_spot\108546.jpg,0.6657690586220464
train_images\dead_heart\107786.jpg,0.6657690586220464
train_images\dead_heart\107827.jpg,1.223816522680498
train_images\blast\100932.jpg,-1.56642079761176
train_images\dead_heart\103408.jpg,0.8889880442454271
train_images\downy_mildew\102704.jpg,-2.1244682616702115
train_images\normal\104927.jpg,-1.56642079761176
train_images\hispa\109534.jpg,0.6657690586220464
train_images\tungro\104179.jpg,-1.0083733335533083
train_images\brown_spot\100255.jpg,0.8889880442454271
train_images\hispa\100072.jpg,0.6657690586220464
train_images\blast\109507.jpg,-2.1244682616702115
train_images\downy_mildew\107434.jpg,-2.1244682616702115
train_images\blast\100006.jpg,0.3309405801869755
train_images\dead_heart\106434.jpg,0.3309405801869755
train_images\bacterial_leaf_blight\102617.jpg,-1.0083733335533083
train_images\normal\107609.jpg,-0.7851543479299277
train_images\dead_heart\100587.jpg,1.223816522680498
train_images\dead_heart\104994.jpg,0.6657690586220464
train_images\brown_spot\109941.jpg,0.6657690586220464
train_images\blast\105755.jpg,1.223816522680498
train_images\normal\104481.jpg,-0.4503258694948567
train_images\bacterial_leaf_streak\104181.jpg,-1.56642079761176
train_images\dead_heart\109652.jpg,0.6657690586220464
train_images\normal\107331.jpg,-0.4503258694948567
train_images\brown_spot\100820.jpg,0.6657690586220464
train_images\hispa\106610.jpg,0.6657690586220464
train_images\tungro\101662.jpg,0.6657690586220464
train_images\brown_spot\106320.jpg,0.8889880442454271
train_images\brown_spot\100565.jpg,0.6657690586220464
train_images\hispa\105392.jpg,0.10772159456359487
train_images\hispa\108703.jpg,0.6657690586220464
train_images\hispa\100986.jpg,-1.56642079761176
train_images\blast\102958.jpg,1.223816522680498
train_images\normal\105958.jpg,-1.56642079761176
train_images\hispa\100878.jpg,-0.7851543479299277
train_images\blast\100870.jpg,-0.4503258694948567
train_images\tungro\103949.jpg,-0.4503258694948567
train_images\tungro\107769.jpg,0.8889880442454271
train_images\hispa\100358.jpg,-0.4503258694948567
train_images\tungro\106825.jpg,0.6657690586220464
train_images\dead_heart\104189.jpg,0.6657690586220464
train_images\normal\103122.jpg,0.6657690586220464
train_images\bacterial_leaf_blight\102475.jpg,-1.0083733335533083
train_images\blast\105515.jpg,0.4425500729986658
train_images\blast\101715.jpg,-1.56642079761176
train_images\bacterial_leaf_blight\103313.jpg,-1.0083733335533083
train_images\blast\105626.jpg,-1.56642079761176
train_images\blast\106361.jpg,-1.56642079761176
train_images\dead_heart\104404.jpg,1.223816522680498
train_images\blast\102505.jpg,-1.9012492760468307
train_images\normal\101648.jpg,-0.4503258694948567
train_images\dead_heart\109783.jpg,0.6657690586220464
train_images\hispa\104119.jpg,0.6657690586220464
train_images\dead_heart\109739.jpg,1.223816522680498
train_images\normal\101348.jpg,0.10772159456359487
train_images\downy_mildew\107356.jpg,-0.4503258694948567
train_images\hispa\101708.jpg,0.10772159456359487
train_images\normal\101729.jpg,-0.4503258694948567
train_images\dead_heart\100425.jpg,0.3309405801869755
train_images\dead_heart\108517.jpg,0.8889880442454271
train_images\blast\101993.jpg,0.6657690586220464
train_images\dead_heart\101568.jpg,-1.56642079761176
train_images\bacterial_leaf_blight\103127.jpg,-1.56642079761176
train_images\hispa\108791.jpg,-2.1244682616702115
train_images\bacterial_leaf_streak\100889.jpg,0.6657690586220464
train_images\tungro\106750.jpg,-1.0083733335533083
train_images\tungro\103403.jpg,-0.7851543479299277
train_images\hispa\102776.jpg,0.10772159456359487
train_images\normal\108714.jpg,-0.4503258694948567
train_images\normal\108910.jpg,-0.4503258694948567
train_images\bacterial_leaf_streak\102043.jpg,0.6657690586220464
train_images\brown_spot\106403.jpg,0.6657690586220464
train_images\dead_heart\101870.jpg,1.7818639867389496
train_images\hispa\104588.jpg,0.6657690586220464
train_images\blast\107318.jpg,1.223816522680498
train_images\hispa\108263.jpg,0.10772159456359487
train_images\hispa\105835.jpg,0.10772159456359487
train_images\normal\102620.jpg,0.8889880442454271
train_images\tungro\104738.jpg,-2.1244682616702115
train_images\normal\108456.jpg,-0.4503258694948567
train_images\blast\109717.jpg,-0.4503258694948567
train_images\downy_mildew\108413.jpg,0.6657690586220464
train_images\dead_heart\103180.jpg,0.6657690586220464
train_images\downy_mildew\107171.jpg,-1.0083733335533083
train_images\hispa\106408.jpg,0.6657690586220464
train_images\hispa\108566.jpg,-2.1244682616702115
train_images\tungro\107355.jpg,0.10772159456359487
train_images\brown_spot\110144.jpg,-1.0083733335533083
train_images\bacterial_panicle_blight\105746.jpg,0.6657690586220464
train_images\blast\108683.jpg,1.223816522680498
train_images\dead_heart\109129.jpg,0.6657690586220464
train_images\normal\108949.jpg,0.10772159456359487
train_images\downy_mildew\101455.jpg,-1.56642079761176
train_images\blast\107114.jpg,-0.4503258694948567
train_images\hispa\105664.jpg,-1.56642079761176
